Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
borderline-smote,yeast1,KNN,0.6934252434252434,0.4803877992715403,0.7180574555403556,0.5754218489229953,0.7421736114262745,0.4723307150275435,0.7002336448577859,0.7007348889076186
borderline-smote,yeast1,RandomForest,0.7709004459004458,0.6007977503596059,0.6316279069767442,0.6144973737748513,0.8076193100407802,0.6217913403802017,0.7223230440016022,0.7295580293177559
borderline-smote,yeast1,SVM,0.6549890799890801,0.449022902614154,0.8460465116279071,0.586494716253996,0.7955600002593344,0.6012565060138707,0.6985162659640883,0.7116488482310152
