Method,Dataset,Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
Borderline-SMOTE,yeast6,KNN,0.9615911365911366,0.3531862745098039,0.7714285714285715,0.483090631717634,0.9103332367429731,0.37551661844026374,0.8594247094245835,0.86880580223976
Borderline-SMOTE,yeast6,RandomForest,0.9777618527618529,0.579047619047619,0.5428571428571428,0.5179933791698498,0.9110060170112669,0.48336425382518877,0.7143383866317231,0.7655641161129766
Borderline-SMOTE,yeast6,SVM,0.9467626717626718,0.275333896237921,0.7714285714285715,0.40324230367333813,0.9368186544394634,0.5268395281144846,0.8523468708617807,0.8612124362929757
