Type,Method,Dataset,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,G-Mean,BAcc,,
Hybrid Method,AdaBoost (depth=5),yeast6,0.9778,0.5500,0.3714,0.4392,0.8979,0.4859,0.6043,0.6819,,
Hybrid Method,RHSBoost,yeast1,0.7507,0.5613,0.6456,0.5993,0.7910,0.5896,0.7148,0.7195,,
Hybrid Method,RHSBoost,yeast4,0.8396,0.1545,0.8036,0.2584,0.8824,0.1807,0.8210,0.8223,,1.0017
Hybrid Method,RHSBoost,yeast6,0.8679,0.1359,0.8571,0.2340,0.8675,0.1328,0.8580,0.8627,,
Hybrid Method,RHSBoost,yeast3,0.9191,0.5901,0.9015,0.7115,0.9546,0.6852,0.9111,0.9114,,
Hybrid Method,RUSBoost,yeast1,0.7156,0.5171,0.6085,0.5498,0.7558,0.5147,0.6728,0.6839,,
Hybrid Method,RUSBoost,yeast6,0.7864,0.0856,0.8286,0.1548,0.8265,0.0983,0.8009,0.8070,,
Hybrid Method,RUSBoost,yeast4,0.8255,0.1469,0.8418,0.2499,0.8847,0.1846,0.8321,0.8333,,
Hybrid Method,RUSBoost,yeast3,0.9003,0.5325,0.9203,0.6731,0.9348,0.5969,0.9090,0.9090,,1.5059
Hybrid Method,SMOTEBoost,yeast1,0.7473,0.5560,0.6294,0.5903,0.7718,0.5543,0.7074,0.7123,,1.2617
Hybrid Method,SMOTEBoost,yeast3,0.9468,0.7530,0.7725,0.7611,0.9596,0.7989,0.8641,0.8704,,1.6630
Hybrid Method,SMOTEBoost,yeast4,0.9535,0.3799,0.3946,0.3730,0.9147,0.4122,0.6148,0.6840,,1.0270
Hybrid Method,SMOTEBoost,yeast6,0.9778,0.5101,0.6286,0.5539,0.9147,0.5500,0.7704,0.8074,,1.3204
Hybrid Method,SMOTECSL,yeast1,0.5492,0.3855,0.9416,0.5470,0.7931,0.5956,0.6053,0.6656,,1.2009
Hybrid Method,SMOTECSL,yeast4,0.6874,0.0877,0.8618,0.1591,0.8535,0.1488,0.7648,0.7715,,0.9136
Hybrid Method,SMOTECSL,yeast6,0.7540,0.0865,0.9429,0.1573,0.9100,0.3574,0.8363,0.8462,,1.1936
Hybrid Method,SMOTECSL,yeast3,0.8538,0.4260,0.9510,0.5883,0.9688,0.8093,0.8947,0.8964,,1.7040
Hybrid Method,SUBoost,yeast1,0.7224,0.5297,0.5408,0.5277,0.7571,0.5586,0.6512,0.6685,,1.2098
Hybrid Method,SUBoost,yeast3,0.9394,0.7743,0.6267,0.6877,0.9548,0.7286,0.7778,0.8024,,1.5064
Hybrid Method,SUBoost,yeast4,0.9589,0.4417,0.2746,0.3146,0.8879,0.3961,0.4581,0.6289,,0.8541
Hybrid Method,SUBoost,yeast6,0.9771,0.5343,0.4286,0.4462,0.8706,0.4566,0.6227,0.7095,,1.0793
