Method,Dataset,Fold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SUBoost,yeast1,1,0.784512,0.892857,0.290698,0.438596,0.731952,0.599939,0.535317,0.638240
SUBoost,yeast1,2,0.730640,0.588235,0.232558,0.333333,0.711589,0.507669,0.465970,0.583104
SUBoost,yeast1,3,0.750842,0.588235,0.465116,0.519481,0.728149,0.505373,0.635134,0.666207
SUBoost,yeast1,4,0.481481,0.349558,0.918605,0.506410,0.722914,0.462417,0.527853,0.610961
SUBoost,yeast1,5,0.695946,0.424242,0.164706,0.237288,0.701227,0.442726,0.387136,0.537329
SUBoost,yeast1,Average,0.688684,0.568626,0.414337,0.407022,0.719166,0.503625,0.510282,0.607168
