Method,Dataset,Fold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTEBoost,yeast4,1,0.952862,0.333333,0.272727,0.300000,0.926891,0.358862,0.516726,0.625874
SMOTEBoost,yeast4,2,0.942761,0.266667,0.400000,0.320000,0.952613,0.320110,0.620217,0.680836
SMOTEBoost,yeast4,3,0.969697,0.555556,0.500000,0.526316,0.958537,0.636086,0.702162,0.743031
SMOTEBoost,yeast4,4,0.969697,0.600000,0.300000,0.400000,0.844948,0.386634,0.545811,0.646516
SMOTEBoost,yeast4,5,0.942568,0.294118,0.500000,0.370370,0.937063,0.371108,0.692113,0.729021
SMOTEBoost,yeast4,Average,0.955517,0.409935,0.394545,0.383337,0.924010,0.414560,0.615406,0.685056
