Method,Dataset,Fold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SMOTEBoost,yeast1,1,0.747475,0.556701,0.627907,0.590164,0.799240,0.583258,0.707068,0.712058
SMOTEBoost,yeast1,2,0.720539,0.515464,0.581395,0.546448,0.771134,0.585239,0.672228,0.679323
SMOTEBoost,yeast1,3,0.774411,0.602151,0.651163,0.625698,0.766229,0.557321,0.732788,0.737904
SMOTEBoost,yeast1,4,0.754209,0.565657,0.651163,0.605405,0.777251,0.529576,0.720043,0.723686
SMOTEBoost,yeast1,5,0.739865,0.540000,0.635294,0.583784,0.745442,0.512611,0.704836,0.708642
SMOTEBoost,yeast1,Average,0.747300,0.555994,0.629384,0.590300,0.771859,0.553601,0.707392,0.712323
