Method,Dataset,Fold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SUBoost,yeast4,1,0.949495,0.300000,0.272727,0.285714,0.902416,0.312537,0.515802,0.624126
SUBoost,yeast4,2,0.946128,0.000000,0.000000,0.000000,0.853659,0.184528,0.000000,0.489547
SUBoost,yeast4,3,0.979798,1.000000,0.400000,0.571429,0.935714,0.536940,0.632456,0.700000
SUBoost,yeast4,4,0.962963,0.400000,0.200000,0.266667,0.843554,0.282672,0.444870,0.594774
SUBoost,yeast4,5,0.959459,0.375000,0.300000,0.333333,0.825699,0.290210,0.542914,0.641259
SUBoost,yeast4,Average,0.959569,0.415000,0.234545,0.291429,0.872208,0.321377,0.427208,0.609941
