Method,Dataset,Fold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,G_Mean,BAcc
SUBoost,yeast6,1,0.979798,0.555556,0.714286,0.625000,0.946798,0.547578,0.839305,0.850246
SUBoost,yeast6,2,0.973064,0.400000,0.285714,0.333333,0.764039,0.285800,0.531751,0.637685
SUBoost,yeast6,3,0.966330,0.384615,0.714286,0.500000,0.938916,0.727055,0.833415,0.843350
SUBoost,yeast6,4,0.979798,0.600000,0.428571,0.500000,0.986946,0.553175,0.652392,0.710837
SUBoost,yeast6,5,0.959459,0.222222,0.285714,0.250000,0.936233,0.378336,0.528009,0.630746
SUBoost,yeast6,Average,0.971690,0.432479,0.485714,0.441667,0.914587,0.498389,0.676975,0.734573
